Day,Hearing aid: (United States)
9/1/21,73
9/2/21,74
9/3/21,67
9/4/21,62
9/5/21,62
9/6/21,62
9/7/21,65
9/8/21,87
9/9/21,73
9/10/21,70
9/11/21,67
9/12/21,56
9/13/21,68
9/14/21,70
9/15/21,77
9/16/21,76
9/17/21,77
9/18/21,62
9/19/21,55
9/20/21,69
9/21/21,67
9/22/21,84
9/23/21,83
9/24/21,68
9/25/21,68
9/26/21,68
9/27/21,79
9/28/21,90
9/29/21,96
9/30/21,84
10/1/21,80
10/2/21,78
10/3/21,67
10/4/21,75
10/5/21,91
10/6/21,100
10/7/21,83
10/8/21,86
10/9/21,63
10/10/21,67
10/11/21,82
10/12/21,87
10/13/21,87
10/14/21,91
10/15/21,70
10/16/21,64
10/17/21,70
10/18/21,84
10/19/21,89
10/20/21,97
10/21/21,96
10/22/21,84
10/23/21,69
10/24/21,65
10/25/21,81
10/26/21,84
10/27/21,79
10/28/21,83
10/29/21,72
10/30/21,72
10/31/21,58
11/1/21,81
11/2/21,80
11/3/21,80
11/4/21,80
11/5/21,76
11/6/21,71
11/7/21,68
11/8/21,82
11/9/21,80
11/10/21,87
11/11/21,83
11/12/21,86
11/13/21,69
11/14/21,70
11/15/21,75
11/16/21,76
11/17/21,89
11/18/21,82
11/19/21,74
11/20/21,66
11/21/21,60
11/22/21,71
11/23/21,75
11/24/21,84
11/25/21,69
11/26/21,85
11/27/21,70
11/28/21,63
11/29/21,80
11/30/21,80
